AcceleratingHS,DeceleratingHS,FastHS,SlowHS
NaN,0.0255616125408952,0.0184497327075934,0.0329029143958672
NaN,0.0437244575837681,0.0162672053629888,0.0251536102939338
0.0224403931262069,0.022439416810782,0.0306936893718338,0.0427937510044236
0.0338778754718055,0.0129773499808299,NaN,0.0110979586295439
0.0176570300752765,0.0166709941539338,0.016921720356798,0.0151440357901429
0.0155559506113692,0.188637229096596,0.0212882245418195,0.0170498809149791
