Subjects,Condition,Trial,Leg,Time,StepLength,StepTime,LeadingLimbAngle,TrailingLimbAngle,PeakPropulsion,PeakBraking,PropulsionImpulse,BrakingImpulse,StepLength_Norm
MLR050,Slow,SlowHS,Left,first30,0.638036479,0.588666667,29.80275092,-16.96142366,0.151653262,-0.193391374,0.032892534,-0.030788881,0.715287533
GR0326,Accelerate,AcceleratingHS,Right,first30,0.687317303,0.564333333,37.36482999,-18.10008476,0.226319249,-0.25315746,0.041405313,-0.046534369,0.838191833
GR0327,Accelerate,AcceleratingHS,Right,first30,0.508617593,0.499666667,26.10313981,-16.77890339,0.172557187,-0.209949119,0.029733297,-0.026236653,0.635771991
GR0328,Accelerate,AcceleratingHS,Right,first30,0.437950361,0.446666667,24.72058368,-15.448413,0.169240667,-0.179961892,0.026899055,-0.020981399,0.547437951
GR0329,Accelerate,AcceleratingHS,Right,first30,0.573036706,0.639666667,34.48951041,-25.15860959,0.241692383,-0.243546881,0.037542394,-0.04757228,0.69040567
GR0330,Accelerate,AcceleratingHS,Right,first30,0.52476313,0.583333333,30.77616085,-22.11298212,0.263041307,-0.195015491,0.048694932,-0.028407286,0.570394707
GR0331,Accelerate,AcceleratingHS,Right,first30,0.527841279,0.555,34.77386761,-17.35673588,0.172755519,-0.106190122,0.038934221,-0.017741785,0.593080089
GR0334,Accelerate,AcceleratingHS,Right,first30,0.467730108,0.576,34.91125673,-24.26252145,0.293011194,-0.169148952,0.048046647,-0.032921109,0.592063428
GR0335,Accelerate,AcceleratingHS,Right,first30,0.509994243,0.561333333,34.23706441,-17.77050578,0.205840411,-0.15222736,0.04352785,-0.01914506,0.593016562
GR0336,Accelerate,AcceleratingHS,Right,first30,0.534039973,0.547333333,27.81884631,-23.66656284,0.240175791,-0.198821627,0.051336196,-0.027789193,0.603434998
MLR049,Accelerate,AcceleratingHS,Right,first30,0.58886306,0.693333333,31.82208291,-23.24321984,0.220224921,-0.134780331,0.04511133,-0.030974105,0.666134683
MLR050,Accelerate,AcceleratingHS,Right,first30,0.551819587,0.527666667,28.57345201,-20.17397644,0.194932293,-0.204511624,0.03596986,-0.031363566,0.618631824
GR0326,Baseline075,Baseline075,Right,first30,0.424760706,0.634,28.04101161,-12.41319363,0.10660159,-0.097302596,0.033033962,-0.02070374,0.518000861
GR0327,Baseline075,Baseline075,Right,first30,0.399366831,0.571333333,22.50185648,-12.52091278,0.083340935,-0.096164997,0.018687136,-0.014288642,0.499208539
GR0328,Baseline075,Baseline075,Right,first30,0.448082136,0.667,26.87986758,-14.96443448,0.104928208,-0.125929534,0.028299243,-0.02862033,0.56010267
GR0329,Baseline075,Baseline075,Right,first30,0.497451705,0.750333333,30.64196381,-16.33711148,0.124371,-0.128203294,0.03023277,-0.03297727,0.599339404
GR0330,Baseline075,Baseline075,Right,first30,0.449675324,0.673666667,22.71236559,-14.54455532,0.124634419,-0.099133113,0.025042809,-0.022041619,0.488777526
GR0331,Baseline075,Baseline075,Right,first30,0.441483477,0.657666667,28.65239361,-11.96436938,0.096639416,-0.085152147,0.026187045,-0.024276995,0.496048851
GR0334,Baseline075,Baseline075,Right,first30,0.427462138,0.7,29.82177087,-15.39135943,0.123002794,-0.09727762,0.027765291,-0.024493969,0.541091314
GR0335,Baseline075,Baseline075,Right,first30,0.424343111,0.635333333,25.62616549,-13.73131978,0.126801671,-0.105073781,0.028942096,-0.020647589,0.493422222
GR0336,Baseline075,Baseline075,Right,first30,0.436539148,0.621666667,24.50913045,-14.11315746,0.126092491,-0.113773819,0.027112696,-0.020298488,0.493264574
MLR049,Baseline075,Baseline075,Right,first30,0.44601241,0.713,29.12506525,-13.4080164,0.11918838,-0.101478571,0.035452035,-0.027157406,0.504538925
MLR050,Baseline075,Baseline075,Right,first30,0.43220497,0.640666667,22.09851344,-15.21028529,0.107814405,-0.088322087,0.023040517,-0.019618705,0.48453472
GR0326,Baseline1125,Baseline1125,Right,first30,0.56327645,0.559,31.52552805,-18.37597461,0.161793888,-0.119881487,0.033282804,-0.021080428,0.6869225
GR0327,Baseline1125,Baseline1125,Right,first30,0.507193395,0.505666667,23.73219437,-18.71736766,0.152117513,-0.146145807,0.020367078,-0.019676599,0.633991744
GR0328,Baseline1125,Baseline1125,Right,first30,0.543730474,0.558666667,27.93045607,-19.21075501,0.189217195,-0.194605725,0.031175421,-0.03206516,0.679663093
GR0329,Baseline1125,Baseline1125,Right,first30,0.588440938,0.596333333,32.62355736,-20.46271504,0.190332677,-0.211876436,0.031008053,-0.037788231,0.708964986
